Date,Close,High,Low,Open,Volume,headline,Polarity,Subjectivity,Sentiment,Close_Change
2023-08-28,1675.8299560546875,1680.780029296875,1666.219970703125,1675.1600341796875,69484500,,0.0,0.0,Neutral,0.004627974636515431
2019-08-03,1669.780029296875,1676.550048828125,1668.1500244140625,1672.5799560546875,64869000,,0.0,0.0,Neutral,-0.003610107777316185
2020-06-04,1679.1700439453125,1687.1300048828125,1673.030029296875,1674.9200439453125,144668500,,0.0,0.0,Neutral,0.005623503984768297
2019-05-12,1672.760009765625,1686.3699951171875,1670.6700439453125,1685.719970703125,176071900,,0.0,0.0,Neutral,-0.003817382404361358
2020-12-18,1667.8299560546875,1684.0799560546875,1667.8299560546875,1679.06005859375,176278400,,0.0,0.0,Neutral,-0.002947257037564044
2019-06-10,1678.8800048828125,1681.22998046875,1669.280029296875,1677.3800048828125,156200700,,0.0,0.0,Neutral,0.006625404938920942
2021-06-22,1683.219970703125,1684.989990234375,1676.75,1684.989990234375,139377800,,0.0,0.0,Neutral,0.0025850363383268515
2023-11-04,1676.1600341796875,1684.18994140625,1672.27001953125,1683.050048828125,87794700,,0.0,0.0,Neutral,-0.004194304158884443
2020-05-06,1679.4200439453125,1679.4200439453125,1672.550048828125,1674.8299560546875,136098300,Calculate your credit card repayment - Hong Leong Bank,0.0,0.0,Neutral,0.0019449275123781806
2019-08-05,1673.0799560546875,1676.3399658203125,1668.4300537109375,1675.780029296875,111608800,,0.0,0.0,Neutral,-0.0037751650717058327
2019-01-15,1682.969970703125,1684.239990234375,1674.3599853515625,1680.2099609375,140150900,,0.0,0.0,Neutral,0.005911262407183093
2020-12-18,1692.219970703125,1692.219970703125,1681.8900146484375,1682.0799560546875,133706000,,0.0,0.0,Neutral,0.005496235916874648
2024-02-29,1702.1199951171875,1702.1199951171875,1688.18994140625,1698.8800048828125,128811400,,0.0,0.0,Neutral,0.005850317680596184
2024-06-30,1688.1400146484375,1691.22998046875,1680.8399658203125,1690.760009765625,127894400,,0.0,0.0,Neutral,-0.008213275508691442
2021-12-21,1693.5899658203125,1694.5899658203125,1686.8699951171875,1689.300048828125,153312500,,0.0,0.0,Neutral,0.0032283762748257505
2022-11-18,1701.030029296875,1701.030029296875,1695.3800048828125,1699.5899658203125,130046000,,0.0,0.0,Neutral,0.004393072483137139
2020-12-18,1697.5,1705.5,1693.6300048828125,1705.4100341796875,114151100,,0.0,0.0,Neutral,-0.0020752304404256794
2024-09-07,1690.4100341796875,1694.7099609375,1688.47998046875,1694.7099609375,145706700,,0.0,0.0,Neutral,-0.004176710350699553
2021-07-30,1684.1099853515625,1691.22998046875,1681.5699462890625,1689.68994140625,111179200,,0.0,0.0,Neutral,-0.0037269353001576633
2023-11-24,1683.530029296875,1695.4000244140625,1683.530029296875,1694.8599853515625,183261900,,0.0,0.0,Neutral,-0.00034436946501825716
2021-11-24,1683.6099853515625,1699.6600341796875,1683.6099853515625,1698.969970703125,55504500,,0.0,0.0,Neutral,4.749309682394731e-05
2019-11-20,1693.3900146484375,1693.47998046875,1685.6600341796875,1688.0,79976000,,0.0,0.0,Neutral,0.005808963704163839
2019-11-19,1686.52001953125,1690.4300537109375,1683.7099609375,1688.510009765625,112074900,,0.0,0.0,Neutral,-0.0040569479315216705
2020-01-08,1688.56005859375,1689.739990234375,1681.6400146484375,1688.699951171875,85843900,,0.0,0.0,Neutral,0.0012096144954549803
2019-11-20,1687.4100341796875,1692.219970703125,1683.72998046875,1692.219970703125,109831900,MPower Platinum Credit Card-i - HSBC Amanah,0.0,0.0,Neutral,-0.0006810681137514596
2020-06-10,1685.300048828125,1688.4599609375,1683.6099853515625,1687.72998046875,101659700,,0.0,0.0,Neutral,-0.0012504283540000216
2022-03-29,1689.06005859375,1689.06005859375,1682.81005859375,1684.489990234375,97867800,,0.0,0.0,Neutral,0.002231062515093196
2024-10-25,1688.8299560546875,1693.8499755859375,1687.1199951171875,1692.2900390625,113332100,,0.0,0.0,Neutral,-0.00013623111735538984
2024-06-07,1692.739990234375,1695.6099853515625,1690.18994140625,1693.9200439453125,91243800,,0.0,0.0,Neutral,0.0023152326056685713
2020-03-04,1706.56005859375,1710.1400146484375,1693.3699951171875,1694.030029296875,155030200,,0.0,0.0,Neutral,0.008164318465390341
2020-12-16,1726.1800537109375,1727.25,1711.43994140625,1712.8299560546875,179676200,,0.0,0.0,Neutral,0.011496809044830636
2020-10-18,1730.6800537109375,1730.6800537109375,1719.6700439453125,1722.3699951171875,163806400,,0.0,0.0,Neutral,0.002606912291870156
2021-04-01,1721.4200439453125,1732.27001953125,1716.1700439453125,1730.510009765625,130778600,,0.0,0.0,Neutral,-0.005350503546724061
2020-06-22,1724.5799560546875,1724.5799560546875,1717.4100341796875,1722.3399658203125,108306900,,0.0,0.0,Neutral,0.0018356426837768947
2020-07-11,1719.0,1726.0,1715.1500244140625,1725.5699462890625,119649500,,0.0,0.0,Neutral,-0.0032355450004490915
2023-06-01,1713.449951171875,1717.5899658203125,1709.300048828125,1717.1400146484375,116938100,,0.0,0.0,Neutral,-0.0032286496964077926
2023-12-29,1707.72998046875,1717.8800048828125,1706.9200439453125,1715.3800048828125,208301100,,0.0,0.0,Neutral,-0.003338277081984753
2023-01-27,1700.760009765625,1701.050048828125,1696.7099609375,1700.449951171875,128892800,,0.0,0.0,Neutral,-0.004081424336891848
2023-11-04,1693.989990234375,1698.8699951171875,1688.219970703125,1688.219970703125,98568100,,0.0,0.0,Neutral,-0.003980584851699942
2020-03-13,1685.6199951171875,1691.280029296875,1682.18994140625,1682.18994140625,106231900,,0.0,0.0,Neutral,-0.0049409944364721126
2023-06-02,1686.8199462890625,1688.3299560546875,1684.0799560546875,1684.97998046875,120497300,,0.0,0.0,Neutral,0.0007118752597565781
2023-05-11,1686.949951171875,1690.22998046875,1682.3299560546875,1682.3299560546875,107349800,,0.0,0.0,Neutral,7.70709897630617e-05
2020-07-11,1679.9000244140625,1688.280029296875,1678.6600341796875,1686.1300048828125,111301300,KARAOKE MANEKINEKO MALAYSIA - Karaoke Manekineko,0.0,0.0,Neutral,-0.004179096571842678
2023-03-31,1664.6300048828125,1680.1800537109375,1664.6300048828125,1680.1400146484375,122405500,,0.0,0.0,Neutral,-0.009089838269736417
2019-12-27,1671.280029296875,1672.93994140625,1666.8399658203125,1667.9599609375,100522600,,0.0,0.0,Neutral,0.003994896400134618
2023-11-04,1678.239990234375,1678.239990234375,1669.9200439453125,1671.1300048828125,106093600,,0.0,0.0,Neutral,0.004164449293651895
2021-08-11,1674.52001953125,1678.8800048828125,1673.469970703125,1675.6600341796875,108432300,,0.0,0.0,Neutral,-0.0022165904309106033
2020-06-22,1680.5400390625,1683.25,1672.5999755859375,1674.5899658203125,235527300,,0.0,0.0,Neutral,0.003595071698775598
2023-05-03,1690.93994140625,1690.93994140625,1681.3599853515625,1681.8299560546875,87929700,,0.0,0.0,Neutral,0.006188428780043553
2020-07-11,1687.6800537109375,1694.8900146484375,1687.6800537109375,1692.47998046875,70723100,Vaginal Tightening & Stress Urinary Incontinence - Venusys Medical Sdn Bhd,0.0,0.0,Neutral,-0.0019278553989335867
2023-12-16,1684.2099609375,1687.06005859375,1680.2900390625,1683.780029296875,93870500,,0.0,0.0,Neutral,-0.0020561318869695144
2020-12-18,1663.6600341796875,1689.6099853515625,1663.6600341796875,1687.6400146484375,118957800,Login to your CTOS ID Account - CTOS | Login to your CTOS ID Account - CTOS,0.0,0.0,Neutral,-0.012201523108421486
2022-04-21,1666.6600341796875,1673.449951171875,1657.010009765625,1669.5799560546875,96193500,,0.0,0.0,Neutral,0.0018032530314879835
2020-12-19,1649.1500244140625,1654.260009765625,1648.06005859375,1652.1400146484375,87635300,,0.0,0.0,Neutral,-0.010506047668109586
2023-05-02,1649.93994140625,1653.5799560546875,1647.1099853515625,1647.8199462890625,103876000,,0.0,0.0,Neutral,0.00047898431343029735
2021-01-08,1642.72998046875,1650.219970703125,1641.8900146484375,1649.1700439453125,97583500,SIARAN AKHBAR - Bank Negara Malaysia,0.0,0.0,Neutral,-0.004369832353627978
2022-04-08,1641.3299560546875,1645.2099609375,1638.68994140625,1642.9000244140625,91661100,,0.0,0.0,Neutral,-0.0008522547410153569
2023-11-05,1643.6300048828125,1649.5999755859375,1639.260009765625,1648.3599853515625,142055400,,0.0,0.0,Neutral,0.0014013323887986928
2020-12-16,1628.6600341796875,1647.5899658203125,1628.43994140625,1646.4300537109375,100896200,,0.0,0.0,Neutral,-0.009107871393594036
2020-08-11,1632.8299560546875,1639.3199462890625,1630.97998046875,1633.8299560546875,101492100,,0.0,0.0,Neutral,0.0025603390440536167
2020-12-19,1643.2099609375,1645.5400390625,1635.800048828125,1638.27001953125,81246900,,0.0,0.0,Neutral,0.006357064214998376
2019-02-12,1645.0699462890625,1645.6099853515625,1637.5699462890625,1644.010009765625,106616000,,0.0,0.0,Neutral,0.0011319219063772312
2023-06-01,1641.81005859375,1645.0899658203125,1640.300048828125,1645.0799560546875,65502900,,0.0,0.0,Neutral,-0.0019816103884616743
2023-10-31,1644.3499755859375,1645.719970703125,1640.3800048828125,1643.6700439453125,83680300,,0.0,0.0,Neutral,0.0015470224334981353
2020-07-11,1641.93994140625,1645.56005859375,1639.2099609375,1645.18994140625,98177100,,0.0,0.0,Neutral,-0.0014656455228326815
2022-03-30,1639.4599609375,1642.1300048828125,1635.8900146484375,1641.8299560546875,86807000,,0.0,0.0,Neutral,-0.0015103965779807993
2019-02-12,1624.22998046875,1639.3299560546875,1622.449951171875,1639.3299560546875,105835100,,0.0,0.0,Neutral,-0.009289632459240416
2020-12-16,1630.1700439453125,1631.0899658203125,1623.43994140625,1624.530029296875,100767200,,0.0,0.0,Neutral,0.003657156651454052
2021-03-28,1631.3299560546875,1638.8699951171875,1630.8299560546875,1634.949951171875,73256000,,0.0,0.0,Neutral,0.000711528293433572
2024-01-12,1629.4599609375,1635.469970703125,1626.989990234375,1631.5799560546875,90054600,,0.0,0.0,Neutral,-0.0011463009737834318
2023-02-20,1620.9000244140625,1627.77001953125,1615.530029296875,1627.0699462890625,103910200,,0.0,0.0,Neutral,-0.005253235261155176
2020-12-18,1619.72998046875,1620.550048828125,1609.8299560546875,1617.6700439453125,138129600,,0.0,0.0,Neutral,-0.0007218483112402252
2020-12-18,1622.0699462890625,1625.219970703125,1618.68994140625,1620.6400146484375,75776100,,0.0,0.0,Neutral,0.0014446641406460348
